2026-03-14T05:36:00.368 | INFO     | api.websocket_endpoints | [WS] Connection request for user 1
2026-03-14T05:36:00.370 | INFO     | api.websocket_endpoints | [WS] Connection request for user 1
2026-03-14T05:36:00.600 | INFO     | uvicorn.error | 127.0.0.1:61251 - "WebSocket /ws/chat/1" [accepted]
2026-03-14T05:36:00.611 | INFO     | services.tts.memory_tts_queue | Disabled TTS generation for user 1. Dropped pending tasks: 0
2026-03-14T05:36:00.614 | INFO     | services.memory_websocket_manager | WebSocket connection added: 1_user_1_chat_dashboard_1773448560600229000 (role=dashboard, presence_only=False)
2026-03-14T05:36:00.614 | INFO     | api.websocket_endpoints | [WS] Connected: 1_user_1_chat_dashboard_1773448560600229000 (User: 1, role=dashboard, presence_only=False)
2026-03-14T05:36:00.615 | INFO     | uvicorn.error | 127.0.0.1:61219 - "WebSocket /ws/chat/1" [accepted]
2026-03-14T05:36:00.623 | INFO     | services.tts.memory_tts_queue | Disabled TTS generation for user 1. Dropped pending tasks: 0
2026-03-14T05:36:00.623 | INFO     | services.memory_websocket_manager | WebSocket connection added: 1_user_1_chat_dashboard_1773448560615621200 (role=dashboard, presence_only=False)
2026-03-14T05:36:00.624 | INFO     | api.websocket_endpoints | [WS] Connected: 1_user_1_chat_dashboard_1773448560615621200 (User: 1, role=dashboard, presence_only=False)
2026-03-14T05:36:00.626 | INFO     | uvicorn.error | connection open
2026-03-14T05:36:00.626 | INFO     | uvicorn.error | connection open
2026-03-14T05:36:00.668 | INFO     | services.user_identity_service | User operation: {'operation': 'get_user_settings', 'user_type': 'authenticated', 'identifier': '1'}
2026-03-14T05:36:00.681 | INFO     | api.auth_api | === AUTH STATUS REQUEST START ===
2026-03-14T05:36:00.839 | INFO     | api.auth_api | === AUTH STATUS REQUEST END ===
2026-03-14T05:36:01.138 | WARNING  | api.websocket_endpoints | [WS] Error user 1: (<CloseCode.ABNORMAL_CLOSURE: 1006>, '')
2026-03-14T05:36:01.145 | INFO     | services.tts.memory_tts_queue | Disabled TTS generation for user 1. Dropped pending tasks: 0
2026-03-14T05:36:01.146 | INFO     | services.memory_websocket_manager | WebSocket connection removed: 1_user_1_chat_dashboard_1773448560615621200
2026-03-14T05:36:01.147 | INFO     | uvicorn.error | connection closed
2026-03-14T05:36:01.307 | INFO     | api.websocket_endpoints | [HISTORY] Sent 20 messages
2026-03-14T05:36:01.314 | INFO     | core.middleware | GET /api/youtube/queue - Status: 200 - Time: 0.946s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:01.315 | INFO     | core.middleware | GET /api/user-settings/ - Status: 200 - Time: 0.948s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:01.317 | INFO     | core.middleware | GET /api/auth/status - Status: 200 - Time: 0.949s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:01.322 | INFO     | core.middleware | GET /api/youtube/queue - Status: 200 - Time: 0.954s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:01.334 | INFO     | core.middleware | GET /api/chat/status - Status: 200 - Time: 0.965s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:01.538 | INFO     | core.middleware | GET /api/youtube/queue - Status: 200 - Time: 0.113s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:01.557 | INFO     | core.middleware | GET /api/donationalerts/status - Status: 200 - Time: 0.128s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:01.579 | INFO     | core.middleware | GET /api/chat/status - Status: 200 - Time: 0.154s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:01.599 | INFO     | core.middleware | GET /api/tts/status - Status: 200 - Time: 0.157s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:02.060 | INFO     | bot_service | YouTube settings saved for user 1
2026-03-14T05:36:02.064 | INFO     | core.middleware | POST /api/tts/youtube-settings - Status: 200 - Time: 0.140s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:03.807 | INFO     | core.middleware | GET /api/drops/qualities - Status: 200 - Time: 0.042s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:03.808 | INFO     | core.middleware | GET /api/drops/rewards/yourchy - Status: 200 - Time: 0.042s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:05.435 | INFO     | api.websocket_endpoints | [WS] Disconnected cleanly: 1
2026-03-14T05:36:05.442 | INFO     | services.tts.memory_tts_queue | Disabled TTS generation for user 1. Dropped pending tasks: 0
2026-03-14T05:36:05.444 | INFO     | core.connection_manager_core | [TIMER] [TTS DISCONNECT] Scheduled TTS disable for user 1 (yourchy) in 60s
2026-03-14T05:36:05.444 | INFO     | services.memory_websocket_manager | Scheduled TTS disconnect after last WebSocket removal for user 1 (yourchy)
2026-03-14T05:36:05.445 | INFO     | services.memory_websocket_manager | WebSocket connection removed: 1_user_1_chat_dashboard_1773448560600229000
2026-03-14T05:36:05.447 | INFO     | uvicorn.error | connection closed
2026-03-14T05:36:06.204 | INFO     | services.user_identity_service | User operation: {'operation': 'get_user_settings', 'user_type': 'authenticated', 'identifier': '1'}
2026-03-14T05:36:06.240 | INFO     | api.auth_api | === AUTH STATUS REQUEST START ===
2026-03-14T05:36:06.248 | INFO     | api.auth_api | === AUTH STATUS REQUEST END ===
2026-03-14T05:36:06.305 | INFO     | core.middleware | GET /api/user-settings/ - Status: 200 - Time: 0.139s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:06.307 | INFO     | core.middleware | GET /api/auth/status - Status: 200 - Time: 0.140s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:06.312 | INFO     | core.middleware | GET /api/chat/status - Status: 200 - Time: 0.145s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:06.361 | INFO     | api.websocket_endpoints | [WS] Connection request for user 1
2026-03-14T05:36:06.381 | INFO     | uvicorn.error | 127.0.0.1:61285 - "WebSocket /ws/chat/1" [accepted]
2026-03-14T05:36:06.399 | INFO     | core.connection_manager_core | [REFRESH] [TTS RECONNECT] Cancelled scheduled TTS disable for user 1
2026-03-14T05:36:06.420 | INFO     | services.tts.memory_tts_queue | Disabled TTS generation for user 1. Dropped pending tasks: 0
2026-03-14T05:36:06.437 | INFO     | services.memory_websocket_manager | WebSocket connection added: 1_user_1_chat_dashboard_1773448566403184000 (role=dashboard, presence_only=False)
2026-03-14T05:36:06.452 | INFO     | api.websocket_endpoints | [WS] Connected: 1_user_1_chat_dashboard_1773448566403184000 (User: 1, role=dashboard, presence_only=False)
2026-03-14T05:36:06.454 | INFO     | uvicorn.error | connection open
2026-03-14T05:36:06.456 | INFO     | core.connection_manager_core | [OK] [TTS RECONNECT] User 1 reconnected - keeping TTS enabled
2026-03-14T05:36:06.564 | INFO     | api.websocket_endpoints | [HISTORY] Sent 20 messages
